order,damping,switch_scale,dwell_scale,exact_error,theory_bound,bound_utilization,pass
0.5,0.25,0.5,0.0625,4.135021780679022,6.162772381857966,0.6709677924908832,1
0.5,0.25,0.5,0.25,3.056877646148285,4.925522753555834,0.6206199421049194,1
0.5,0.25,0.5,1.0,1.928005912140344,3.420668609260004,0.5636342283847926,1
0.5,0.25,0.5,4.0,1.0710538236288718,2.0431654104636365,0.524212977639352,1
0.5,0.25,0.5,16.0,0.5559181503063277,1.095995661008114,0.5072265977722809,1
0.5,0.25,2.0,0.0625,4.833357914965352,6.162772381857966,0.7842830491669369,1
0.5,0.25,2.0,0.25,3.6391810877288355,4.925522753555834,0.7388415950574256,1
0.5,0.25,2.0,1.0,2.2713036111394884,3.420668609260004,0.6639940522127461,1
0.5,0.25,2.0,4.0,1.184660054183521,2.0431654104636365,0.579816028656582,1
0.5,0.25,2.0,16.0,0.5777611464086657,1.095995661008114,0.5271564176424128,1
0.5,0.25,8.0,0.0625,5.410135604013711,6.162772381857966,0.8778736693148241,1
0.5,0.25,8.0,0.25,4.180665632889052,4.925522753555834,0.8487760268432311,1
0.5,0.25,8.0,1.0,2.704664004541489,3.420668609260004,0.7906828499024322,1
0.5,0.25,8.0,4.0,1.416001534445101,2.0431654104636365,0.6930430239242259,1
0.5,0.25,8.0,16.0,0.6443888059006584,1.095995661008114,0.5879483184339794,1
0.5,1.0,0.5,0.0625,1.0337554451691995,1.5406930954623883,0.6709677924914383,1
0.5,1.0,0.5,0.25,0.764219411532765,1.2313806883830998,0.6206199421043751,1
0.5,1.0,0.5,1.0,0.4820014780330547,0.8551671523112438,0.5636342283848936,1
0.5,1.0,0.5,4.0,0.2677634559096975,0.5107913526206349,0.5242129776393565,1
0.5,1.0,0.5,16.0,0.13897953757700837,0.27399891525051856,0.5072265977766324,1
0.5,1.0,2.0,0.0625,1.2083394787413568,1.5406930954623883,0.7842830491680197,1
0.5,1.0,2.0,0.25,0.9097952719289445,1.2313806883830998,0.73884159505829,1
0.5,1.0,2.0,1.0,0.5678259027779673,0.8551671523112438,0.663994052207589,1
0.5,1.0,2.0,4.0,0.2961650135509909,0.5107913526206349,0.579816028661223,1
0.5,1.0,2.0,16.0,0.14444028660207997,0.27399891525051856,0.5271564176450023,1
0.5,1.0,8.0,0.0625,1.3525339010021393,1.5406930954623883,0.8778736693151862,1
0.5,1.0,8.0,0.25,1.045166408217353,1.2313806883830998,0.8487760268432821,1
0.5,1.0,8.0,1.0,0.6761660011299548,0.8551671523112438,0.790682849899571,1
0.5,1.0,8.0,4.0,0.35400038361718134,0.5107913526206349,0.6930430239293767,1
0.5,1.0,8.0,16.0,0.16109720147416126,0.27399891525051856,0.5879483184335577,1
0.5,4.0,0.5,0.0625,0.258438861292343,0.38517327386563954,0.6709677924914763,1
0.5,4.0,0.5,0.25,0.19105485288386878,0.30784517209644263,0.62061994210523,1
0.5,4.0,0.5,1.0,0.12050036950843787,0.2137917880779252,0.5636342283854072,1
0.5,4.0,0.5,4.0,0.06694086397766748,0.1276978381554547,0.524212977640045,1
0.5,4.0,0.5,16.0,0.034744884393906085,0.0684997288125289,0.5072265977723271,1
0.5,4.0,2.0,0.0625,0.30208486968540527,0.38517327386563954,0.7842830491681048,1
0.5,4.0,2.0,0.25,0.22744881798285235,0.30784517209644263,0.7388415950586892,1
0.5,4.0,2.0,1.0,0.14195647569455033,0.2137917880779252,0.6639940522075078,1
0.5,4.0,2.0,4.0,0.07404125338787099,0.1276978381554547,0.5798160286608443,1
0.5,4.0,2.0,16.0,0.03611007165031017,0.0684997288125289,0.5271564176427145,1
0.5,4.0,8.0,0.0625,0.33813347525050585,0.38517327386563954,0.8778736693150142,1
0.5,4.0,8.0,0.25,0.261291602054937,0.30784517209644263,0.8487760268433862,1
0.5,4.0,8.0,1.0,0.1690415002825345,0.2137917880779252,0.7906828498993628,1
0.5,4.0,8.0,4.0,0.08850009590468977,0.1276978381554547,0.693043023930859,1
0.5,4.0,8.0,16.0,0.040274300368499265,0.0684997288125289,0.587948318433823,1
0.7,0.25,0.5,0.0625,4.77274897799081,6.858493432840071,0.6958888310861059,1
0.7,0.25,0.5,0.25,3.5782394188412026,5.4208601987771825,0.6600870134316263,1
0.7,0.25,0.5,1.0,1.92922131897393,3.196895824925153,0.6034670582420676,1
0.7,0.25,0.5,4.0,0.6911086108040837,1.271522063811655,0.543528602824508,1
0.7,0.25,0.5,16.0,0.21957300146441586,0.42908793356351066,0.5117202892211281,1
0.7,0.25,2.0,0.0625,5.827433021536581,6.858493432840071,0.8496666328545958,1
0.7,0.25,2.0,0.25,4.44966755620313,5.4208601987771825,0.8208415994950155,1
0.7,0.25,2.0,1.0,2.406923984301791,3.196895824925153,0.7528940935565652,1
0.7,0.25,2.0,4.0,0.8083256987815924,1.271522063811655,0.6357150393115996,1
0.7,0.25,2.0,16.0,0.23312820926128378,0.42908793356351066,0.5433110349321387,1
0.7,0.25,8.0,0.0625,6.49176334268274,6.858493432840071,0.9465290600992134,1
0.7,0.25,8.0,0.25,5.060731192375484,5.4208601987771825,0.9335660774865703,1
0.7,0.25,8.0,1.0,2.8606708650106647,3.196895824925153,0.8948276771194569,1
0.7,0.25,8.0,4.0,1.003283529650189,1.271522063811655,0.7890413844983826,1
0.7,0.25,8.0,16.0,0.27170274508837905,0.42908793356351066,0.6332099409832588,1
0.7,1.0,0.5,0.0625,1.1931872444973908,1.7146233582097652,0.6958888310860265,1
0.7,1.0,0.5,0.25,0.8945598547103806,1.3552150496943038,0.6600870134316813,1
0.7,1.0,0.5,1.0,0.4823053297433972,0.7992239562312763,0.6034670582419699,1
0.7,1.0,0.5,4.0,0.17277715270112703,0.3178805159532431,0.5435286028242786,1
