order,damping,morphology_abs,frequencies,relative_error,draws,certifiable,primary_pass_0p02,exploratory_pass_0p05,chain_coverage,disk_true_feasible,max_u_w,max_u_r,max_u_alpha,p95_u_alpha,median_chain_width,median_disk_width_subset
0.5,0.3,1.0198039,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.997147648534499,0.8853039067788468,0.8466301967921332,0.5356444740789129,0.014219389181744202,0.012989799290374388
0.5,0.3,1.0198039,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9986039621570323,0.8743222681764312,0.7595707927077301,0.5925685009409918,0.1410646525651827,0.14092281299504536
0.5,0.3,1.0198039,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9968286532837305,0.7908313029224447,0.6537679074379696,0.43339933818254184,0.445872114010035,0.4910371473370147
0.5,0.3,1.0198039,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9966490984055675,0.6952570254888896,0.447163415065537,0.3857428103131586,0.6,0.6
0.5,0.3,1.0198039,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9997083946648173,0.8598129710199367,0.733443366167513,0.5046510219132277,0.00350995206592869,0.0034688701256233856
0.5,0.3,1.0198039,0.7-1.4-2.6,0.001,128,128,128,128,1.0,1.0,0.9998014779485068,0.908597748169221,0.8259128681638802,0.5773737689118769,0.03510993629183751,0.03475057350038627
0.5,0.3,1.0198039,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9966919394585187,0.812810085256101,0.768900043805636,0.5308477242373976,0.17501641537774032,0.15547169279120107
0.5,0.3,1.0198039,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9963053613404641,0.8557579882629743,0.5605712843280136,0.5001876868413958,0.2736997554243772,0.2915995651419026
0.5,0.3,1.0198039,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9988283349166591,0.9402762455547675,0.8848758973550608,0.5893195255308831,0.005554910696810106,0.005644896249928394
0.5,0.3,1.0198039,0.7-1.9-2.6,0.001,128,128,0,128,1.0,1.0,0.9982570516814572,0.910974862501629,0.6606929256838937,0.5316544155526863,0.05540160314494638,0.051060385061582475
0.5,0.3,1.0198039,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9954640384951705,0.8235304223060866,0.675726866102557,0.5488526406225231,0.2342886367872778,0.21369115479556605
0.5,0.3,1.0198039,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.9944085855923249,0.8733466181287238,0.6373017701602862,0.4343794375595071,0.34947716784663474,0.3641766275313027
