relative_error,phase1,phase2,phase3,u_r,u_alpha,chain_contains
0.0001,0.0,0.0,0.0,0.12671982276961308,0.021295435298515134,1
0.0001,0.0,0.0,1.5707963267948966,0.6130154313473029,0.41561999404531214,1
0.0001,0.0,0.0,3.141592653589793,0.7802092506592363,0.23687461195441709,1
0.0001,0.0,0.0,4.71238898038469,0.49901449074951,0.15748354427623107,1
0.0001,0.0,1.5707963267948966,0.0,0.6003338423685224,0.407814080372128,1
0.0001,0.0,1.5707963267948966,1.5707963267948966,0.13148330741242964,0.013244166022934632,1
0.0001,0.0,1.5707963267948966,3.141592653589793,0.7504433576128134,0.1921175662316207,1
0.0001,0.0,1.5707963267948966,4.71238898038469,0.9520637915030713,0.5867210999434712,1
0.0001,0.0,3.141592653589793,0.0,0.9453292901165524,0.40498444467243855,1
0.0001,0.0,3.141592653589793,1.5707963267948966,0.48739613155196704,0.01036469025662915,1
0.0001,0.0,3.141592653589793,3.141592653589793,0.2837962065055886,0.18916219682412705,1
0.0001,0.0,3.141592653589793,4.71238898038469,0.8582865576053939,0.5838155526015674,1
0.0001,0.0,4.71238898038469,0.0,0.7410529196309121,0.024103769083754598,1
0.0001,0.0,4.71238898038469,1.5707963267948966,0.7720030990814973,0.41847816802095206,1
0.0001,0.0,4.71238898038469,3.141592653589793,0.35529751379131724,0.23980864899755341,1
0.0001,0.0,4.71238898038469,4.71238898038469,0.28160552453660936,0.15459932954231564,1
0.0001,1.5707963267948966,0.0,0.0,0.2815629277103371,0.11999307719065748,1
0.0001,1.5707963267948966,0.0,1.5707963267948966,0.7409325967281896,0.5142593778712706,1
0.0001,1.5707963267948966,0.0,3.141592653589793,0.7720050758998617,0.3355696857245184,1
0.0001,1.5707963267948966,0.0,4.71238898038469,0.35532773602291895,0.05873020298109186,1
0.0001,1.5707963267948966,1.5707963267948966,0.0,0.4990472554768152,0.3090594087760934,1
0.0001,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.12672551116985017,0.08545223275746824,1
0.0001,1.5707963267948966,1.5707963267948966,3.141592653589793,0.6131142398195986,0.09336546189907924,1
0.0001,1.5707963267948966,1.5707963267948966,4.71238898038469,0.7803817132566839,0.487910713334298,1
0.0001,1.5707963267948966,3.141592653589793,0.0,0.9519688838691196,0.3062636394018321,1
0.0001,1.5707963267948966,3.141592653589793,1.5707963267948966,0.6002157109390779,0.08829785563604838,1
0.0001,1.5707963267948966,3.141592653589793,3.141592653589793,0.13152502140621014,0.09044395560007563,1
0.0001,1.5707963267948966,3.141592653589793,4.71238898038469,0.7505052402720986,0.4850390426550933,1
0.0001,1.5707963267948966,4.71238898038469,0.0,0.8580746321842985,0.12276755754796288,1
0.0001,1.5707963267948966,4.71238898038469,1.5707963267948966,0.9450277507804541,0.5170837119672448,1
0.0001,1.5707963267948966,4.71238898038469,3.141592653589793,0.48731862040822577,0.3384698726695293,1
0.0001,1.5707963267948966,4.71238898038469,4.71238898038469,0.28379424408163145,0.05587985189528771,1
0.0001,3.141592653589793,0.0,0.0,0.28372349963945165,0.18909666434369832,1
0.0001,3.141592653589793,0.0,1.5707963267948966,0.8579385957269934,0.583306932229946,1
0.0001,3.141592653589793,0.0,3.141592653589793,0.9450709202150858,0.4046093619629771,1
0.0001,3.141592653589793,0.0,4.71238898038469,0.48741812543992435,0.010365499704942622,1
0.0001,3.141592653589793,1.5707963267948966,0.0,0.3553915124437724,0.23992076614076024,1
0.0001,3.141592653589793,1.5707963267948966,1.5707963267948966,0.281555093453101,0.15453482887649214,1
0.0001,3.141592653589793,1.5707963267948966,3.141592653589793,0.741067950742145,0.02429074368104083,1
0.0001,3.141592653589793,1.5707963267948966,4.71238898038469,0.7722155760609268,0.4187799549487203,1
0.0001,3.141592653589793,3.141592653589793,0.0,0.7803223441348288,0.23706968981307835,1
0.0001,3.141592653589793,3.141592653589793,1.5707963267948966,0.4989743433781757,0.1574357320705237,1
0.0001,3.141592653589793,3.141592653589793,3.141592653589793,0.12672639595186436,0.021313945169552317,1
0.0001,3.141592653589793,3.141592653589793,4.71238898038469,0.6131624236825947,0.41585296541813493,1
0.0001,3.141592653589793,4.71238898038469,0.0,0.7503093151548881,0.1919264390427986,1
0.0001,3.141592653589793,4.71238898038469,1.5707963267948966,0.9516853112523077,0.5861865340340503,1
0.0001,3.141592653589793,4.71238898038469,3.141592653589793,0.6001517811891012,0.4075648283933618,1
0.0001,3.141592653589793,4.71238898038469,4.71238898038469,0.1315066581379305,0.013271157025905358,1
0.0001,4.71238898038469,0.0,0.0,0.13146494772692255,0.09039309010547997,1
0.0001,4.71238898038469,0.0,1.5707963267948966,0.750247463576854,0.48466162270004753,1
0.0001,4.71238898038469,0.0,3.141592653589793,0.9517802205985813,0.30590836276409566,1
0.0001,4.71238898038469,0.0,4.71238898038469,0.6002699009736724,0.08839377366091812,1
0.0001,4.71238898038469,1.5707963267948966,0.0,0.48749566335843797,0.33868137545271276,1
0.0001,4.71238898038469,1.5707963267948966,1.5707963267948966,0.2837254650981487,0.05583249925426239,1
0.0001,4.71238898038469,1.5707963267948966,3.141592653589793,0.8581505241779662,0.12304877846370216,1
0.0001,4.71238898038469,1.5707963267948966,4.71238898038469,0.9453724984236306,0.5175962787676861,1
0.0001,4.71238898038469,3.141592653589793,0.0,0.772213569624086,0.3357964385309738,1
0.0001,4.71238898038469,3.141592653589793,1.5707963267948966,0.35536126547695396,0.05876724937896353,1
0.0001,4.71238898038469,3.141592653589793,3.141592653589793,0.2815976890492413,0.12003812279974692,1
0.0001,4.71238898038469,3.141592653589793,4.71238898038469,0.7411882741190259,0.5146354185341178,1
0.0001,4.71238898038469,4.71238898038469,0.0,0.6130636060849198,0.09325671227610954,1
0.0001,4.71238898038469,4.71238898038469,1.5707963267948966,0.7801498946486538,0.48757505854610644,1
0.0001,4.71238898038469,4.71238898038469,3.141592653589793,0.49894159762433504,0.3088976734565811,1
0.0001,4.71238898038469,4.71238898038469,4.71238898038469,0.12672070693407092,0.08545425864721914,1
0.001,0.0,0.0,0.0,0.12636251689467876,0.021157299475449233,1
0.001,0.0,0.0,1.5707963267948966,0.6107700218416493,0.4135007339654875,1
0.001,0.0,0.0,3.141592653589793,0.7776834090576289,0.23538792514779472,1
0.001,0.0,0.0,4.71238898038469,0.49790361585620063,0.1572908262133473,1
0.001,0.0,1.5707963267948966,0.0,0.599599376892926,0.40788044266134615,1
0.001,0.0,1.5707963267948966,1.5707963267948966,0.13103860674038162,0.013088665488952832,1
0.001,0.0,1.5707963267948966,3.141592653589793,0.7491047062684291,0.19247993681904937,1
0.001,0.0,1.5707963267948966,4.71238898038469,0.9513023623467856,0.5876092120420944,1
0.001,0.0,3.141592653589793,0.0,0.9440457522352035,0.4056243977224157,1
0.001,0.0,3.141592653589793,1.5707963267948966,0.48603721074055,0.010333676516456168,1
0.001,0.0,3.141592653589793,3.141592653589793,0.2833892575087089,0.1889676832361224,1
0.001,0.0,3.141592653589793,4.71238898038469,0.8576313216760675,0.5845941099196924,1
0.001,0.0,4.71238898038469,0.0,0.7390695962352681,0.02320271207816974,1
0.001,0.0,4.71238898038469,1.5707963267948966,0.7690540158414811,0.4160451095492661,1
0.001,0.0,4.71238898038469,3.141592653589793,0.3539576061709928,0.23868651761504067,1
0.001,0.0,4.71238898038469,4.71238898038469,0.2811039170629562,0.154489412571199,1
0.001,1.5707963267948966,0.0,0.0,0.28067797058924543,0.1194803768345115,1
0.001,1.5707963267948966,0.0,1.5707963267948966,0.73786684833475,0.5112426775862458,1
0.001,1.5707963267948966,0.0,3.141592653589793,0.7690702953260609,0.3336850867540148,1
0.001,1.5707963267948966,0.0,4.71238898038469,0.35425694470998104,0.058411589185847365,1
0.001,1.5707963267948966,1.5707963267948966,0.0,0.4982308437579558,0.30898718236372236,1
0.001,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.1264191254085495,0.08522198104444775,1
0.001,1.5707963267948966,1.5707963267948966,3.141592653589793,0.6117551737520028,0.09361252348943437,1
