order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.5,0.2,2,1-2-4,2.0,2.8,5.2,3.2,0.63,1.0436096431476471e-14,2.6645352591003757e-14,1.0991992921937006e-13,1.127957361251754e-15,1
0.5,0.2,2,1-3-4,2.0,3.8,5.2,1.0,0.0,3.306244167333716e-13,9.739986595036498e-13,1.1639970531545716e-12,7.745642239390818e-16,1
0.5,0.2,2,1-3-4,2.0,3.8,5.2,3.2,0.63,3.306244167333716e-13,9.744982598647312e-13,3.726825489348056e-12,4.201031152434897e-17,1
0.5,0.2,2,2-3-4,2.8,3.8,5.2,1.0,0.0,1.241229341530925e-13,3.941569293175462e-13,4.536142082147724e-13,1.3139143376694462e-15,1
0.5,0.2,2,2-3-4,2.8,3.8,5.2,3.2,0.63,1.241229341530925e-13,3.9487857428355255e-13,1.451476828743439e-12,5.701058627375308e-16,1
0.5,0.2,1,0-1-2,0.7,1.0,1.4,1.0,0.0,1.241229341530925e-13,2.044753255603382e-13,3.7334872316398195e-13,7.149237515883846e-16,1
0.5,0.2,1,0-1-2,0.7,1.0,1.4,3.2,0.63,1.241229341530925e-13,2.061129045216603e-13,1.1969089879368388e-12,1.9242748045841618e-15,1
0.5,0.2,1,0-1-3,0.7,1.0,1.9,1.0,0.0,1.0436096431476471e-14,1.637578961322106e-14,3.0651204874577e-14,3.063958935378791e-16,1
0.5,0.2,1,0-1-3,0.7,1.0,1.9,3.2,0.63,1.0436096431476471e-14,1.8096635301390052e-14,1.0049474873776091e-13,2.7260559731608957e-15,1
0.5,0.2,1,0-1-4,0.7,1.0,2.6,1.0,0.0,1.0436096431476471e-14,1.637578961322106e-14,3.0651204874577e-14,8.17055716101011e-16,1
0.5,0.2,1,0-1-4,0.7,1.0,2.6,3.2,0.63,1.0436096431476471e-14,1.8096635301390052e-14,1.0049474873776091e-13,3.2071246743069363e-15,1
0.5,0.2,1,0-2-3,0.7,1.4,1.9,1.0,0.0,3.306244167333716e-13,5.968281424628685e-13,1.0574491989622939e-12,6.257836095950646e-16,1
0.5,0.2,1,0-2-3,0.7,1.4,1.9,3.2,0.63,3.306244167333716e-13,5.959954751943997e-13,3.3822918771402087e-12,1.5115934073713302e-16,1
