order,damping,morphology_abs,frequencies,relative_error,draw,u_w,u_r,u_alpha,alpha_error,alpha_bound,chain_contains,disk_residual
0.5,0.3,1.019803902718557,0.7-1.0-1.4,0.0001,100,0.9617473286947521,0.8853039067788468,0.8466301967921332,0.0063492676732493925,0.0074994580837143,1,-5.161829116148047e-05
0.5,0.3,1.019803902718557,0.7-1.0-1.4,0.001,66,0.9185673185870769,0.799179764908484,0.7595707927077301,0.05881107854602308,0.07742672455370803,1,-0.0008250338378416947
0.5,0.3,1.019803902718557,0.7-1.0-1.4,0.005,25,0.977126646170827,0.739488066888611,0.6537679074379696,0.28715651424790845,0.4392331146587434,1,-0.0038664256042025037
0.5,0.3,1.019803902718557,0.7-1.0-1.4,0.01,70,0.8812177345928419,0.531466532210569,0.447163415065537,0.4479407861083926,1.001738449561536,1,-0.01540011650197232
0.5,0.3,1.019803902718557,0.7-1.4-2.6,0.0001,122,0.9716939821302321,0.8591093576069107,0.733443366167513,0.0014089208024417044,0.0019209674085727802,1,-6.917205875792495e-05
0.5,0.3,1.019803902718557,0.7-1.4-2.6,0.001,43,0.9899170718834399,0.908597748169221,0.8259128681638802,0.016082612564150667,0.019472529347925725,1,-0.00040504822310735277
0.5,0.3,1.019803902718557,0.7-1.4-2.6,0.005,106,0.9779399625355691,0.812810085256101,0.768900043805636,0.0732248385321328,0.09523323495952707,1,-0.004448297627095452
0.5,0.3,1.019803902718557,0.7-1.4-2.6,0.01,63,0.9897245398916258,0.6222211230760042,0.5605712843280136,0.12247618869741927,0.21848459263167208,1,-0.015512371617374392
0.5,0.3,1.019803902718557,0.7-1.9-2.6,0.0001,84,0.9723095166367174,0.9402762455547675,0.8848758973550608,0.0026460497898368462,0.0029903060957429443,1,-2.377932196116132e-05
0.5,0.3,1.019803902718557,0.7-1.9-2.6,0.001,81,0.9982570516814572,0.7341755708988629,0.6606929256838937,0.019911717281138497,0.030137627492420268,1,-0.0010503262637659569
0.5,0.3,1.019803902718557,0.7-1.9-2.6,0.005,29,0.9875136637636139,0.8235304223060866,0.675726866102557,0.09999999999999998,0.1479887880983301,1,-0.0034349788566317083
0.5,0.3,1.019803902718557,0.7-1.9-2.6,0.01,108,0.9010240578895271,0.7191051817079638,0.6373017701602862,0.2106989566254922,0.33061097032964437,1,-0.008986986348344987
0.5,0.3,1.019803902718557,1.0-1.4-1.9,0.0001,0,0.970825221948412,0.7981484927994617,0.6491809643722999,0.005565305610252813,0.008572810842711581,1,-0.00010155754158933984
0.5,0.3,1.019803902718557,1.0-1.4-1.9,0.001,110,0.982095521216838,0.7655198215364568,0.7331745415344308,0.06469712371417724,0.08824245803567496,1,-0.0011016328256760006
0.5,0.3,1.019803902718557,1.0-1.4-1.9,0.005,100,0.8497868111723139,0.6707022755160492,0.5814412754812845,0.29152299077468335,0.5013799382119491,1,-0.006319946552977088
0.5,0.3,1.019803902718557,1.0-1.4-1.9,0.01,54,0.9715572248925658,0.6022532300920119,0.4470457384291985,0.5,1.118453788994542,1,-0.0126546718527916
0.5,0.3,1.252996408614167,0.7-1.0-1.4,0.0001,100,0.9751768724830328,0.8322325314453937,0.7609126411799784,0.005707720306781905,0.0075011505892854,1,-6.145963523230175e-05
0.5,0.3,1.252996408614167,0.7-1.0-1.4,0.001,44,0.9802695889225491,0.8224062682022273,0.7701104979030087,0.057476689885334054,0.07463434148974936,1,-0.0006417133321291674
0.5,0.3,1.252996408614167,0.7-1.0-1.4,0.005,119,0.9809104294194568,0.7844990848008593,0.6123458864193729,0.2671127866216917,0.4362122658871853,1,-0.0022741680651278233
0.5,0.3,1.252996408614167,0.7-1.0-1.4,0.01,67,0.913648387947833,0.5742863558652562,0.4908083818584286,0.5,1.0187275084968346,1,-0.010180557646735044
0.5,0.3,1.252996408614167,0.7-1.4-2.6,0.0001,75,0.9488210494498845,0.7213988939801032,0.6593966520437194,0.001264852233725744,0.0019181963235716905,1,-0.00011192383123458257
0.5,0.3,1.252996408614167,0.7-1.4-2.6,0.001,73,0.880972070401878,0.768473258582033,0.7238759834899214,0.01385838161031644,0.019144690425427536,1,-0.0009248016949820852
0.5,0.3,1.252996408614167,0.7-1.4-2.6,0.005,1,0.9676199665394142,0.829316235107553,0.7580151667417782,0.07807039065473864,0.10299317755120029,1,-0.002546631436291101
0.5,0.3,1.252996408614167,0.7-1.4-2.6,0.01,25,0.9034826206052594,0.7494339508398781,0.6038785963854068,0.13223183983159303,0.21897090014960585,1,-0.006961414679626271
0.5,0.3,1.252996408614167,0.7-1.9-2.6,0.0001,74,0.9294832297696577,0.7774068081443729,0.7225443800046456,0.002160210232614368,0.0029897267107668584,1,-7.288191088674001e-05
0.5,0.3,1.252996408614167,0.7-1.9-2.6,0.001,79,0.9354560839489382,0.8206985451499162,0.757471117020628,0.02284811163845013,0.030163673736259326,1,-0.0005675899578132075
0.5,0.3,1.252996408614167,0.7-1.9-2.6,0.005,12,0.9979318609549236,0.7762353537812053,0.6836359273919866,0.10735626405621579,0.15703718858921134,1,-0.0031713287792830384
0.5,0.3,1.252996408614167,0.7-1.9-2.6,0.01,53,0.9670625080794149,0.7665193458853612,0.5869803580960811,0.19160616888311766,0.32642688335365766,1,-0.005708277136016519
0.5,0.3,1.252996408614167,1.0-1.4-1.9,0.0001,82,0.9996185358110402,0.8756629512013738,0.8277577339879807,0.00706871233269335,0.008539590803504337,1,-5.124620309783593e-05
0.5,0.3,1.252996408614167,1.0-1.4-1.9,0.001,116,0.8261504488286163,0.7080896183977308,0.6845140525410146,0.05823634223415852,0.0850769126184873,1,-0.0011925355416477833
0.5,0.3,1.252996408614167,1.0-1.4-1.9,0.005,125,0.9941352702643548,0.7048025050411124,0.6032072728881005,0.3003160628819387,0.49786545418136824,1,-0.004342113164894041
0.5,0.3,1.252996408614167,1.0-1.4-1.9,0.01,22,0.917280155164319,0.5081650929787849,0.4536006510851099,0.5,1.1022911867606295,1,-0.015179474111494323
0.5,0.8,1.019803902718557,0.7-1.0-1.4,0.0001,98,0.9586859137218997,0.7829853191768624,0.7522250805013282,0.007893660800254942,0.010493748486814785,1,-0.0001366521550105153
0.5,0.8,1.019803902718557,0.7-1.0-1.4,0.001,52,0.971150722671733,0.7241465851899952,0.6743595258993792,0.0741552441431852,0.10996396031373012,1,-0.001597469022935308
0.5,0.8,1.019803902718557,0.7-1.0-1.4,0.005,56,0.9958758472181007,0.6460883510269569,0.5517471451815646,0.35509823551983577,0.6435887138174187,1,-0.007653179243731642
0.5,0.8,1.019803902718557,0.7-1.0-1.4,0.01,69,0.9546919950028133,0.3999166824892943,0.32443812872290057,0.5,1.5411258903759895,1,-0.02877749849844191
0.5,0.8,1.019803902718557,0.7-1.4-2.6,0.0001,34,0.9951057187410101,0.7870497067425349,0.7386630129848116,0.0019323092508783946,0.0026159550659918132,1,-0.00014333104863346793
0.5,0.8,1.019803902718557,0.7-1.4-2.6,0.001,34,0.9566224343096906,0.8508868938899469,0.7841095416236433,0.02043559831181485,0.02606217272844197,1,-0.000992467754182015
0.5,0.8,1.019803902718557,0.7-1.4-2.6,0.005,95,0.9828818017560332,0.7692035287402171,0.6976249246354846,0.10099956545959698,0.14477631445345818,1,-0.0058188723826014845
0.5,0.8,1.019803902718557,0.7-1.4-2.6,0.01,16,0.9012882177334367,0.6468432732676904,0.5547094389716778,0.1768465904867298,0.31880941275232055,1,-0.017145780397986962
0.5,0.8,1.019803902718557,0.7-1.9-2.6,0.0001,45,0.9957374832596361,0.8598154587541975,0.8081626786040262,0.003113209412003992,0.0038522063619438243,1,-7.235146836527355e-05
0.5,0.8,1.019803902718557,0.7-1.9-2.6,0.001,79,0.9994408876127375,0.916133113543201,0.8330389284060374,0.03198969981785915,0.038401206386680195,1,-0.00042812772064464936
0.5,0.8,1.019803902718557,0.7-1.9-2.6,0.005,36,0.9448753279829177,0.7554254819730933,0.6923439517678376,0.14252393348033365,0.2058571221954228,1,-0.0052886779822835205
0.5,0.8,1.019803902718557,0.7-1.9-2.6,0.01,60,0.8392208400646999,0.7070598439772701,0.6268877419025461,0.2804720662032195,0.44740397276235266,1,-0.011025454402721471
0.5,0.8,1.019803902718557,1.0-1.4-1.9,0.0001,88,0.9690361314362363,0.9056114549640332,0.8743705680755341,0.00999601204621281,0.011432237555998438,1,-6.397930705625188e-05
0.5,0.8,1.019803902718557,1.0-1.4-1.9,0.001,123,0.9847189811484253,0.75794408682362,0.7336165128941343,0.08332409921513317,0.11357991232560681,1,-0.001618320836536435
0.5,0.8,1.019803902718557,1.0-1.4-1.9,0.005,106,0.9861787985988986,0.6442192853271418,0.581328674735042,0.4197277604300327,0.7220145481750685,1,-0.0081990562400996
0.5,0.8,1.019803902718557,1.0-1.4-1.9,0.01,66,0.9277679113931044,0.5560625260254217,0.299415550454214,0.5,1.6699199465141306,1,-0.016849484322482164
0.5,0.8,1.252996408614167,0.7-1.0-1.4,0.0001,113,0.9184011096640355,0.7383651502586509,0.7074321528185075,0.0074233503994037275,0.010493374339614158,1,-0.00013411334322389922
0.5,0.8,1.252996408614167,0.7-1.0-1.4,0.001,114,0.9516507509904535,0.7383511978263959,0.7122085535227292,0.07436122742201412,0.1044093433787172,1,-0.0013228362374878358
0.5,0.8,1.252996408614167,0.7-1.0-1.4,0.005,96,0.8914849915982366,0.6928375690357025,0.6222679478913997,0.41379434585342123,0.6649777595898897,1,-0.004581585853123148
0.5,0.8,1.252996408614167,0.7-1.0-1.4,0.01,111,0.9534085232857509,0.42336167515567025,0.3492276941877065,0.5,1.4317306683336941,1,-0.022234753443301072
0.5,0.8,1.252996408614167,0.7-1.4-2.6,0.0001,89,0.8995313150648225,0.8096111574006786,0.7589409305914812,0.0019853223128847852,0.0026159115062321424,1,-0.00010428814161876366
0.5,0.8,1.252996408614167,0.7-1.4-2.6,0.001,85,0.9120388194172052,0.835745433759471,0.789063729686045,0.020564412725798287,0.02606178937407314,1,-0.000891500585606218
0.5,0.8,1.252996408614167,0.7-1.4-2.6,0.005,105,0.855098814010632,0.7285267225531584,0.6338068437978682,0.09139424892218795,0.14419889879153014,1,-0.005988679729516021
0.5,0.8,1.252996408614167,0.7-1.4-2.6,0.01,42,0.9806706912210078,0.5503243616255162,0.48636693081729215,0.14898922584434326,0.30633091274108915,1,-0.020294467435390567
0.5,0.8,1.252996408614167,0.7-1.9-2.6,0.0001,85,0.9241166264052532,0.7337467401795177,0.6914809668129998,0.002659931280868444,0.003846716552630408,1,-0.00011250602007962244
0.5,0.8,1.252996408614167,0.7-1.9-2.6,0.001,32,0.9430759953605375,0.9077345635437796,0.838523501294604,0.03217830315643355,0.03837495682202488,1,-0.0003841717127099917
0.5,0.8,1.252996408614167,0.7-1.9-2.6,0.005,75,0.9256396567172843,0.568810274789967,0.5211858566361077,0.10626326115361728,0.2038874612589696,1,-0.008525363603610527
0.5,0.8,1.252996408614167,0.7-1.9-2.6,0.01,82,0.9754452645600291,0.757725425042458,0.6440835301954342,0.2900678781370516,0.450357546091943,1,-0.006525649323809481
0.5,0.8,1.252996408614167,1.0-1.4-1.9,0.0001,110,0.9963711956729889,0.8321670328200588,0.7541137818795044,0.008622208467386372,0.011433564369950829,1,-9.260950268243919e-05
0.5,0.8,1.252996408614167,1.0-1.4-1.9,0.001,107,0.9349691642649149,0.7451882572564476,0.71830550938508,0.08160992127523059,0.11361449997104216,1,-0.001387753092682944
