record,role,model,split,harmonic,count_complex,sse_mV2,rmse_mV,mae_mV,nrmse_energy,r2_centered
f1y01,engineering_calibration,fractional_common,identification,all,429,1.2034479846256327,0.052964516965629045,0.045559377317769136,0.6582722402092384,0.0008113448902812292
f1y01,engineering_calibration,fractional_common,identification,1,143,0.5923239798184561,0.06435934845068117,0.05633903080804744,0.5411276630961518,0.0014223289414945217
f1y01,engineering_calibration,fractional_common,identification,2,143,0.14290931711450713,0.03161274828210294,0.028804275913698475,0.8328542930553539,0.0011074489903457607
f1y01,engineering_calibration,fractional_common,identification,3,143,0.4682146876926696,0.05722087543251522,0.0515348252315615,0.924004083436661,-5.321677505576439e-05
f1y01,engineering_calibration,fractional_common,validation,all,1134,3.6367763723866426,0.05663067930091832,0.047253130181279676,0.7229555633186188,-0.01691164616710772
f1y01,engineering_calibration,fractional_common,validation,1,378,2.4732906208147125,0.08088941142363568,0.0729899944239041,0.662830238537575,-0.010069519668701066
f1y01,engineering_calibration,fractional_common,validation,2,378,0.3270540192191014,0.029414660852479766,0.026680794578855704,0.9185810279360773,-0.06531438864381744
f1y01,engineering_calibration,fractional_common,validation,3,378,0.8364317323528283,0.04704022067041956,0.04208860154107921,0.942784928092143,-0.019219679683972313
f1y01,engineering_calibration,alpha_one_nested,identification,all,429,1.2034479846256327,0.052964516965629045,0.045559377315838055,0.6582722402092384,0.0008113448902812292
f1y01,engineering_calibration,alpha_one_nested,identification,1,143,0.5923239797452425,0.06435934844670364,0.05633903080172026,0.541127663062709,0.0014223290649225673
f1y01,engineering_calibration,alpha_one_nested,identification,2,143,0.14290931713114052,0.031612748283942664,0.02880427591439007,0.8328542931038223,0.0011074488740834276
f1y01,engineering_calibration,alpha_one_nested,identification,3,143,0.4682146877492498,0.057220875435972575,0.051534825231403854,0.9240040834924904,-5.321689590465084e-05
f1y01,engineering_calibration,alpha_one_nested,validation,all,1134,3.636776372825666,0.05663067930433649,0.047253130179105624,0.7229555633622556,-0.016911646289867077
f1y01,engineering_calibration,alpha_one_nested,validation,1,378,2.4732906206126466,0.08088941142033138,0.07298999440558172,0.6628302385104986,-0.010069519586179299
f1y01,engineering_calibration,alpha_one_nested,validation,2,378,0.3270540192980078,0.029414660856028122,0.026680794579501434,0.9185810280468877,-0.06531438890083963
f1y01,engineering_calibration,alpha_one_nested,validation,3,378,0.8364317329150116,0.04704022068622792,0.042088601552233706,0.9427849284089758,-0.019219680369011227
f1y01,engineering_calibration,constant_fourier,identification,all,429,1.2044251888483308,0.05298601629414484,0.0456014500748577,0.6585394457263634,0.0
f1y01,engineering_calibration,constant_fourier,identification,1,143,0.5931676593475046,0.06440516741568715,0.056399641628774935,0.5415129048684201,0.0
f1y01,engineering_calibration,constant_fourier,identification,2,143,0.14306775735794425,0.0316302675878332,0.02883193216101625,0.8333158482753744,-2.220446049250313e-16
f1y01,engineering_calibration,constant_fourier,identification,3,143,0.46818977214288204,0.05721935293805344,0.05157277643478191,0.9239794981591891,0.0
f1y01,engineering_calibration,constant_fourier,validation,all,1134,3.637738586353283,0.056638170444335105,0.047300922051501146,0.72305119635491,-0.017180699440828562
f1y01,engineering_calibration,constant_fourier,validation,1,378,2.4748995756486516,0.08091571772364058,0.07307175968492409,0.6630457996450229,-0.01072660227056299
f1y01,engineering_calibration,constant_fourier,validation,2,378,0.3283640294958129,0.02947351198481582,0.02675865088746351,0.9204188711091661,-0.06958149045282203
f1y01,engineering_calibration,constant_fourier,validation,3,378,0.8344749812088185,0.04698516542903409,0.042072355582115833,0.9416815052966937,-0.016835313815153574
